WORD_ID,WORD,true_x,true_y,WORD_TOTAL_READING_TIME,surprisal_score,attention_score,cognitive_mass,RDS_linear,RDS_multiplicative,RDS_gated,RDS_sigmoid,RDS_bayesian,RDS_rrf,RDS_spillover_bayesian,RDS_parafoveal,RDS_spillover_rrf,RDS_parafoveal_rrf,RDS_spillover_parafoveal_rrf
3-5-1,There ,104.9,96.7,330,0.0,0.2459,0.1444,0.27996234589942137,0.061537335941788465,0.17117117117117117,0.07385858356430214,0.08105959057302864,0.32143365428129267,0.17291863687679795,0.08105959057302864,0.3392305267091754,0.32832397647833333,0.33056444018053693
3-5-3,a ,191.0,96.0,177,16.413,0.1119,0.0151,0.12771511676860017,0.0035987159254277147,0.0017899478425794217,0.014679854414231365,0.003564573809686942,0.09135663051844317,0.010792687417181344,0.003564573809686942,0.16363133570039207,0.10058320890305406,0.16081439725027877
3-5-4,moment's ,245.2,93.9,181,13.132,0.0,0.3491,0.2770761990939329,0.08474031672389684,0.04138217164532954,0.0719318889555629,0.11450897671571948,0.31709525321697096,0.3875088702335425,0.11450897671571948,0.4570384915524655,0.32402962855832357,0.4487025416534897
3-5-5,stupefied ,342.7,97.8,709,19.917,0.0,0.8436,0.7937720505768738,0.698979500270054,1.0,0.9154825662606466,0.8958179126991194,0.8937215118302122,0.9078089703813682,0.8958179126991194,0.7963716460196095,0.8948006885838554,0.7963716460196095
3-5-6,silence. ,456.3,116.9,379,9.568,0.0,0.3137,0.13821818822700035,0.0,0.03718587008060693,0.016784360643734123,0.0,0.21703226631980085,0.15026300657023162,0.0,0.28062963285704323,0.2148284696659696,0.2749638901372451
3-5-7,"Japp, ",537.0,117.4,445,22.418,0.0,0.4148,0.18276348255199157,0.0,0.049170222854433385,0.028162334939129903,0.0,0.2873698262516025,0.0,0.0,0.2669631904090894,0.2844518054787274,0.2669631904090894
3-5-9,was ,604.9,113.9,250,9.954,0.3712,0.0823,0.0362618963694043,0.0,0.009755808440018965,0.002646829705928553,0.0,0.0847976536480139,0.010114069522366124,0.0,0.08483496729306411,0.08393659833798517,0.08483496729306411
3-5-10,the ,664.0,107.9,159,3.75,0.2512,0.0326,0.14522562360819283,0.008433603517261122,0.0038643907064959695,0.018298794262120506,0.009705900762602084,0.1259984257584857,0.018197298263907764,0.009705900762602084,0.13965295602042938,0.13487324321036862,0.13511808186764143
3-5-11,least ,707.0,110.7,402,7.966,0.4595,0.2013,0.32729670546142925,0.09411710968753743,0.23862019914651494,0.1121508626931347,0.11090542729561084,0.3300246421661763,0.45999984177048336,0.11090542729561084,0.5164000732369048,0.33682772945259815,0.5084918891880077
3-5-12,surprised ,782.9,113.3,912,8.405,0.2428,0.4226,0.7361820848875741,0.45652089290339676,0.5009483167377904,0.8566544135585814,0.7603031461797942,0.7571429751274723,0.8529445834958024,0.7603031461797942,0.746961954638514,0.7596090024507315,0.746961954638514
